Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
P28290	P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2			771.997		818.21	1103.88
P28331	P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	1595.72	1404.39	1499.06	1555.94	1311.59	1498.4
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	13696.9	16119	15095.3	13571.1	9633.42	16256.7
P28347	P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1				644.328	1000.35	
P28482	P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	1640.72	2682.49	1710.84	2212.29	2596.69	2144.22
P28799	P28799	GRN_HUMAN	GRN	Progranulin	874.918			1220.83	707.928	1839.67
P28838	P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	1929.46	1409.35	1861.2	1577.22	1647.52	1692.16
P29034	P29034	S10A2_HUMAN	S100A2	Protein S100-A2	3801.92	3192.34	3298.99	3899.17	3296.56	3828.31
P29084	P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	1332.56	1188.26	911.054	832.137	1087.29	
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	2050.42	1371.34	1861.44	991.239	1205.88	1742.81
P29218	P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1			1014.36			1206.08
P29317	P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2			619.336		422.558	
P29353	P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	779.939	842.833				689.339
P29372	P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	877.868	315.934	813.531	521.595	910.335	736.804
P29401	P29401	TKT_HUMAN	TKT	Transketolase	61982.5	60690.9	61743.8	61816.3	64492.6	62949.9
P29558	P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	1362.76		1107.74	1820.86	4251.96	1958.05
P29692	P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	23094	23779.5	22649.6	22910.6	22417.5	22277.4
P29966	P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	2856.5	3682.64	3479.76	3022.97	2975.74	2481.13
P29992	O95837;P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	2648.46	2441.02	4114.31	2603.22	2409.6	2146.13
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	9776.82	9323.69	10761.9	9276.63	8979.51	9638.88
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	36540.6	35592.6	37256	38084.5	38807.9	35049.7
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	1755.13	1214.21	1063.44	1870.4	1493.59	1543.78
P30044	P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	11573.7	11452.5	12321.3	12134.2	11292	12678.3
P30046	A6NHG4;P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	9253.72	9022.3	8351.21	9655.09	9124.47	8952.29
P30048	P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	10776.8	11481.2	9678.62	11951.4	11389.8	11140.2
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	6252.2	5359.76	5560.49	5366.86	5523.68	5117.41
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	16784.4	15922.8	17966.6	17258	17195.7	17071.8
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	3858.66	4149.29	4016.22	4013.44	3786.64	3732.64
P30085	P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	7549.47	5883.64	5160.16	5390.24	5542.51	5467.32
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	18378.2	21315.7	20648.9	21896.8	20879.7	22195.5
P30101	P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	21375.4	21199.3	23201.6	21492.2	21841.1	22466
P30153	P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	6516.18	6462.83	6779.64	6333.6	6028.62	5985.08
P30154	P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform						614.834
P30260	P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	957.154			659.367		644.117
P30281	P30281	CCND3_HUMAN	CCND3	G1/S-specific cyclin-D3		1230.89				1727.79
P30405	P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial		1393.14	1804.41	1555.47		
P30408	P30408	T4S1_HUMAN	TM4SF1	Transmembrane 4 L6 family member 1	682.985	462.565	337.487			
P30419	O60551;P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	2569.12	2785.93	3193.74	2318.54	2366.86	3136.73
P30519	P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	897.13	692.124	659.301			
P30520	P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	4021.59	4713.96	4294.32	5017.11	5219.16	5373.3
P30530	P30530	UFO_HUMAN	AXL	Tyrosine-protein kinase receptor UFO	341.994	685.441	1184.97	943.582	754.607	
P30533	P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1889.27	2143.49	2004.34	2336.56	1928.15	2853.31
P30566	P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	1442.23	1172.08	1181.75	1053.92	1480.44	1820.96
P30622	P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	866.832	1489.87	720.312		1323.41	668.823
P30626	P30626	SORCN_HUMAN	SRI	Sorcin	5962.99	6054.68	6488.52	4250.29	5762.62	4644.22
P30740	O75830;P50453;P50452;P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	1347.66	1083.62	1195.5	1235.41	1040.97	1148.56
P30825	P30825	SL7A1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1			614.754	1279.38		
P30837	P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	5043.03	5470.19	4678.96	5036.64	5346.51	5009.02
P30838	P30838	AL3A1_HUMAN	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring	1126.26	1489.88		1103.91	787.137	940.214
P30876	P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	2065.84	1695.31		1539.51	1184.88	1759.85
P31040	P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	6533.47	5918.12	5743.4	6534.7	5789.2	6669.09
P31150	P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	2307.87	2251.63	2399.78	2282.03	2063.93	2822.57
P31153	P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	4427.65	4197.79	3487.99	3759.11	4752.81	3870.09
P31327	P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	10605.1	10404.6	10668.8	10877.5	11028.4	10981.7
P31350	P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	1199.18	1628.8	1435.28	1618.93	1796.12	1920.18
P31483	P31483	TIA1_HUMAN	TIA1	Cytotoxic granule associated RNA binding protein TIA1	962.777		611.669		414.687	
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	4203.2	4194.03	3678.3	4247.9	4079.46	4315.97
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	6086.94	5745.56	6444.17	5147.42	6119.04	5506.89
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1687.05	1380.31	1890.41	1399.9	1678.34	1488.91
P31939	P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	8025.91	7585.43	8303.04	8303.92	8417.12	8184.22
P31942	P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	4911.12	5029.5	4044.89	4511.12	4332.82	3825.62
P31943	P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	14712.7	15287.5	15645.2	17192.4	15922.7	17346.6
P31946	P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	11790.8	10701.9	10262.7	10263.4	9459.25	10225.9
P31947	P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	5385.08	5700.01	5454.64	5302.68	4408.78	5982.29
P31948	P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	16798.4	14861	16042.2	15829.7	15697.5	17386.6
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11	18885.5	19296	18695.1	19897.7	18968	20191.1
P32004	P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1467.61	1056.73	1178.09	1411.74	1088.1	1806.21
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	14040.6	13702.6	15582.3	15539.1	14949.3	15341
P32320	P32320	CDD_HUMAN	CDA	Cytidine deaminase	499.849	885.823	827.128	805.578	551.651	2220.63
P32321	P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase		972.579		1298.46	1051.87	
P32322	Q96C36;P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	2121.28	1936.88	1756.19	2421.36	2181.69	2142.95
P32455	P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	1524.79	1236.21	1523.37	651.807	1068.96	883.392
P32456	P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2		877.704	967.425	798.423		1034.95
P32969	P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	10406.1	8976.73	10090	9305.11	10051.4	8512.51
P33176	P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	2710.44	2600.34	3478.59	2955.24	3143.84	2994.26
P33240	P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	1368.06	2105.04	1761.6	1772.7	2467.42	1727.32
P33316	P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	11369.1	11968.4	11011	12008.6	11969.7	11926.3
P33527	P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	957.064	1527.97	794.962	1042.2	818.468	1796.19
P33897	P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	412.08		707.557	757.65	694.74	864.509
P33991	P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	3963.81	3933.76	5021.54	4532.14	4611.12	4650.78
P33992	P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	5558.63	5379.72	5148.73	5360.8	5549.7	5867.1
P33993	P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	5333.53	5300.15	5623.72	5221.62	6450.92	5736.29
P34896	P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	3655.33	3631.33	3199.82	3072.24	4462.15	3508.46
P34897	P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	8289.66	9395.06	9856.42	9058.35	8723.9	8971.51
P34932	P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	6370.85	5864.52	5971.85	6078.8	5556.46	5694.51
P34949	P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase		584.823		900.287	933.087	564.384
P35080	P35080	PROF2_HUMAN	PFN2	Profilin-2	1534.52	1799.88	1150.9	1544.14	2124.32	1692.83
P35221	P26232;P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	3652.57	3614.53	3731.29	3162.99	3911.32	3727.31
P35222	P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	194.434	373.29				634.634
P35232	P35232	PHB1_HUMAN	PHB1	Prohibitin 1	7640.09	8106.85	7029.54	8060.58	7784.36	8059.58
P35237	P35237	SPB6_HUMAN	SERPINB6	Serpin B6	4070.09	3122.05	3435.4	4124.36	3376.71	3428.79
P35241	P35241	RADI_HUMAN	RDX	Radixin	4213.84	4081.83	4633.81	4564.88	4408.64	4775.02
P35244	P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	2631.71	3544.45	3444.25	2367.69	1908.25	2230.69
P35249	P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	1944.79	2290	1884.37	1849.54	2177.63	1973.28
P35250	P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	1639.86	1761.07	1649.07	1858.51	2014.31	1697.54
P35251	P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	1415.4		313.152	613.731	1200.31	
P35268	P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22	18880.1	19114.5	14635.1	18122	18065.5	18088.7
P35269	P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	467.768			728.117	1068.42	880.153
P35270	P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	644.359	987.559	996.241	1078.86	1583.54	1303.41
P35520	P35520	CBS_HUMAN	CBS	Cystathionine beta-synthase	1292.15	1482.7	1823.43	1313.18	1427.89	1563.79
P35527	P35527;CONT|P35527|K1C9_HUMAN	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	2610.32	2143.96	1926.44	1823.35	1545.62	1000.39
P35555	P35555;P35556	FBN1_HUMAN	FBN1	Fibrillin-1	2362.23	959.254		450.861	1358.58	
P35573	P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1616.24	2290.79	1851.37	1840.56	1646.29	1958.41
P35579	P35579	MYH9_HUMAN	MYH9	Myosin-9	19341.8	19798.9	19963.5	20009.5	19983.5	19166.9
P35580	P35580	MYH10_HUMAN	MYH10	Myosin-10	899.727				671.272	825.497
P35606	P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	4676.54	4377.1	4671.57	4054.99	4138.85	4363.57
P35610	P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1		962.644			239.719	
P35611	P35611	ADDA_HUMAN	ADD1	Alpha-adducin	1035.16	586.283	1151.15	549.16	952.216	351.008
P35613	P35613	BASI_HUMAN	BSG	Basigin	19535.5	21759.8	22263.7	22388.5	20832.7	23944.1
P35637	P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	14409.2	16366.4	14734.1	13845.4	15254.8	14573.9
P35658	P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	1239.82	1601.76	1698.58	1742.63	1511.16	1640.33
P35659	P35659	DEK_HUMAN	DEK	Protein DEK	4171.11	4024.56	3979.35	3878.58	3601.59	3819.35
P35754	P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	1469.76	2278.28	1282.7	1453.38	1447.65	701.732
P35914	P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial			1275.3		1414.65	
P35998	P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	4794.49	3659	3574.42	3622.41	3650.99	3678.71
P36404	P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	1845.11	1974.81	1431.36	1690.44	1977.8	1456.54
P36405	P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	2334.31	2154.66	2841.77	3208.23	2750.62	2735.57
P36406	P36406	TRI23_HUMAN	TRIM23	E3 ubiquitin-protein ligase TRIM23					569.218	1004.25
P36507	P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	2085.59	1647.4	1617.49	1399.93	1336.69	1036.78
P36542	P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	3693.23	3270.26	3893.3	3052.22	3647.49	3555.33
P36543	P36543;Q96A05	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	1803.93	1391.91	2310.17	2328.19	2091.95	1611.8
P36551	P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	639.624	946.651		877.334	696.429	1353.79
P36578	P36578	RL4_HUMAN	RPL4	60S ribosomal protein L4	20105.8	20288.3	21150.4	20832.9	20075.8	20815.1
P36639	P36639	8ODP_HUMAN	NUDT1	Oxidized purine nucleoside triphosphate hydrolase	1028.95	615.904	2111.76	1291.19	866.202	1101.62
P36776	P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	2806.88	2151.43	2147.99	2554.11	2579.73	2779.06
P36871	P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	3400.36	3415.12	3687.08	3245.58	3362.41	3364.59
P36915	P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1					795.026	919.532
P36952	P36952	SPB5_HUMAN	SERPINB5	Serpin B5	5997.49	5423.01	6023.7	5121.9	5008	5150.02
P36957	P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	3922.29	4238.37	4516.15	4530.37	4237.43	4344.17
P37108	P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	6822.2	6175.16	6082.57	6525.59	6635.34	7372.22
P37198	P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	380.628	887.982		811.775	915.238	1200.42
P37235	P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	2906.1	2791.46	2565.73	2910.59	2889.03	2321.63
P37268	P37268	FDFT_HUMAN	FDFT1	Squalene synthase	988.737	1262	1998.19	1625.39	1551.61	1796
P37802	P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	41287.8	42611.2	47910.4	43382.8	41518.2	40814.2
P37837	P37837	TALDO_HUMAN	TALDO1	Transaldolase	6414.26	5990.52	6598.28	7020.96	6634.56	6775.06
P37840	P37840	SYUA_HUMAN	SNCA	Alpha-synuclein	1841.39	1105.36	1745.35	1499.84	1587.41	1754.21
P38117	P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	5658.15	5064.37	5535.18	4904.43	5184.76	5107.44
P38159	P38159;Q96E39	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	9092.7	8358.48	7693.86	8496.14	8815.96	8415.5
P38435	P38435	VKGC_HUMAN	GGCX	Vitamin K-dependent gamma-carboxylase	1506.7	409.911	406.648	422.716	507.509	708.038
P38571	P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase			424.196	1018.62	609.459	
P38606	P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	3547.57	3830.64	3507.33	3562.41	3487.67	3196.75
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	19805	20235.1	19674.8	20448.7	20709.8	19872.2
P38919	P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	3749.49	3790.69	4040.47	3234.07	4237.14	4015.37
P39019	P39019	RS19_HUMAN	RPS19	40S ribosomal protein S19	16074.4	15370.4	15541.6	15867.9	15172.6	14981.9
P39023	P39023	RL3_HUMAN	RPL3	60S ribosomal protein L3	17174	16592.4	16514.5	16679.3	16848.9	18057.9
P39656	P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	7940.3	7000.7	6310.92	6489.75	6386.64	6715.87
P39687	P39687;O43423	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	15200.8	14772	14572.8	17289.8	14405.9	14899.6
P39748	P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	10750.9	9562.91	8784.54	10895.3	11036.2	10222
P39880	P39880	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	602.295	481.263		441.363		
P40121	P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	3189.89	3077.66	2918.94	2947.51	3678.57	4247.92
P40123	P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2			1177.01	746.919	538.973	813.902
P40222	P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	1330.52	1316.97	1331.22	1011.91	1184.36	1387.3
P40227	P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	8001.2	7598.62	8194.25	8361.49	8154.1	8101.27
P40261	P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	1177.15	1946.49	1734.42	1523.17	2603.1	2103.18
P40424;P40425	P40424;P40425	PBX1_HUMAN;PBX2_HUMAN	PBX1;PBX2	Pre-B-cell leukemia transcription factor 1		379.295			728.529	416.95
P40429	P40429;Q6NVV1	RL13A_HUMAN	RPL13A	60S ribosomal protein L13a	11673.1	11181.1	12421.9	11136	10190.4	10029.4
P40616	P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1		1721.17	1219.82	542.418	1617.78	800.568
P40692	P40692	MLH1_HUMAN	MLH1	DNA mismatch repair protein Mlh1		528.705				
P40763	P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	805.134	695.586	1383.68	807.936	709.661	856.544
P40818	P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	1053.81	798.477	935.734	768.423		
P40925	P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	15298.1	14944.9	14225.9	16254.5	15195	15582.7
P40926	P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	20327.3	21380.3	21290	21686.2	21598.4	22697.1
P40937	P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	1282.32	1345.42	1584.7	1454.27	1829.96	1465
P40938	P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	953.904	1133.97	1143.9	633.594	1242.82	1873.17
P40939	P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	4699.89	4745.75	4045.43	4340.49	4113.3	4160.67
P41091	P41091;Q2VIR3	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	5104.82	5377.84	5089.45	5001.34	5083.88	5076.36
P41223	P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	1191.8	1378.67	1566.09	1025.15	674.124	1107.33
P41227	P41227;Q9BSU3	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	1348.26	1568.41	1380.25	1076.37	1390.23	675.134
P41229;Q9BY66	P41229;Q9BY66	KDM5C_HUMAN;KDM5D_HUMAN	KDM5C;KDM5D	Lysine-specific demethylase 5C		1105.42				1232.24
P41236	P41236;Q6NXS1	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	1044.56	1082.61	1425.61	1000.48	1405.9	1388.75
P41250	P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	3868.03	4882.73	4882.82	4678.09	4692.69	3960.85
P41252	P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	4502.16	4577.42	4346.59	4020.54	4473.93	4523.3
P42025	P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	1152.81	1595.06	1421.34	987	1471	1770.36
P42126	P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	3020.72	2614.82	3234.29	2837.32	2242.68	2552.85
P42166	P42166;P42167	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	5061.82	5093.3	5218.03	4504.29	5151.2	4787.5
P42167	P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	2626.86	3030.51	3115.72	2118.79	2989.32	3077.34
P42224	P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	1811.64	1800.95	1055.25	1624.79	1428.77	1711.76
P42285	P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	1753.36	1209.45	1256.76	1797.36	2041.44	1608.43
P42330	Q04828;P42330;P52895	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	18917.1	17344.2	17493.3	18381.7	17356.4	16572.4
P42345	P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	802.512			472.689	1729.77	541.614
P42566	P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	844.931	810.634	411.635	423.431		
P42677;Q71UM5	P42677;Q71UM5	RS27L_HUMAN;RS27_HUMAN	RPS27;RPS27L	40S ribosomal protein S27	16656.8	16528	15966.8	16245.6	17603.9	17825.2
P42702	P42702	LIFR_HUMAN	LIFR	Leukemia inhibitory factor receptor					1233.13	1187.86
P42704	P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	9737.21	9792.76	9741.57	9592.35	9076.2	9992.04
P42765	P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	3402.12	3652.02	3457.45	3443.74	2541.98	3458.7
P42766	P42766	RL35_HUMAN	RPL35	60S ribosomal protein L35	20581.9	22006.3	22599	21494.3	20801.4	20926.7
P42771	P42771	CDN2A_HUMAN	CDKN2A	Cyclin-dependent kinase inhibitor 2A	2682.35	1973.79	2517.28	2266.39	2377.95	2450.25
P42785	P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	1537.74	1578.89		1323.18	952.018	1039.1
P42892	P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	2053.02	1951.94	2551.16	1840.64	2434.09	2026.04
P43007	P43007	SATT_HUMAN	SLC1A4	Neutral amino acid transporter A	350.997	660.535			619.624	
P43034	P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	2431.94	2400.52	2270.15	2396.6	2733.18	1872.21
P43121	P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	1355.19	1935.95	1231.48	1884.22	1779.05	1807.81
P43243	P43243	MATR3_HUMAN	MATR3	Matrin-3	5611.96	5588.76	5560.44	6015.08	5872.06	5727.24
P43246	P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	1026.84	1408.93	1105.26	1066.99	1169.67	1240.15
P43304	P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	3120.19	3345.91	3349.14	3628.91	3508.81	3144.35
P43307	P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	6936.69	6163.2	7211.85	7690.43	7291.31	6704.85
P43487	P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	6363.41	7285.23	7321.88	6741.7	7626.73	8052.06
