Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P48735|IDHP_HUMAN	P48735	IDHP_HUMAN	IDH2	452	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Isocitrate dehydrogenase [NADP], mitochondrial"	1	0.999	24	422	422	446	14	12	14	15	14	15	20	14	16	18	16	15	19	17	23	20	21	18	17	14	20	25	22	23	14	12	14	15	14	15	20	14	16	18	16	15	19	17	23	20	21	18	17	14	20	25	22	23	15	13	15	16	15	16	21	15	18	19	17	16	20	18	23	21	22	19	18	15	21	26	23	24	9.90E+08	6.71E+08	8.09E+08	5.64E+08	4.80E+08	7.22E+08	8.80E+08	7.96E+08	7.05E+08	7.64E+08	7.92E+08	1.09E+09	1.72E+09	1.52E+09	1.57E+09	1.21E+09	1.44E+09	1.52E+09	1.43E+09	1.56E+09	1.74E+09	1.61E+09	1.60E+09	1.75E+09	1.50E+08	1.55E+08	1.48E+08	1.58E+08	1.26E+08	1.68E+08	1.47E+08	1.54E+08	1.44E+08	1.42E+08	1.50E+08	1.41E+08	3.34E+08	3.11E+08	2.43E+08	2.39E+08	2.89E+08	3.06E+08	2.96E+08	3.13E+08	3.00E+08	3.08E+08	3.04E+08	3.12E+08	
sp|P48739|PIPNB_HUMAN	P48739	PIPNB_HUMAN	PITPNB	271	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol transfer protein beta isoform	1	0.999	19	277	257	277	13	12	7	13	6	17	10	10	12	12	11	10	13	14	10	15	12	12	10	13	11	10	11	13	12	12	7	13	6	17	8	9	11	11	10	10	11	12	10	14	12	9	10	12	9	9	11	12	13	12	7	13	6	17	10	10	12	12	11	10	13	14	10	15	12	12	10	13	11	10	11	13	5.16E+08	4.08E+08	2.99E+08	4.44E+08	2.01E+08	5.28E+08	4.33E+08	5.11E+08	3.92E+08	3.44E+08	3.88E+08	4.61E+08	5.06E+08	5.71E+08	5.14E+08	4.54E+08	4.03E+08	4.90E+08	4.81E+08	5.24E+08	3.53E+08	5.63E+08	5.09E+08	4.70E+08	1.60E+08	1.57E+08	1.62E+08	1.74E+08	1.16E+08	1.70E+08	1.67E+08	1.70E+08	1.63E+08	1.66E+08	1.53E+08	1.50E+08	1.86E+08	1.84E+08	1.71E+08	1.51E+08	1.71E+08	1.79E+08	1.73E+08	1.60E+08	1.57E+08	1.90E+08	1.79E+08	1.56E+08	
sp|P48960|AGRE5_HUMAN	P48960	AGRE5_HUMAN	ADGRE5	835	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor E5	1	0.999	8	47	41	47	1	2	2	4	4	2	2	5	3	3	3	3	0	2	0	1	1	0	2	2	2	1	0	2	1	2	2	3	3	2	2	4	3	3	2	2	0	2	0	1	1	0	2	2	1	1	0	2	1	2	2	4	4	2	2	5	3	3	3	3	0	2	0	1	1	0	2	2	2	1	0	2	0	1.56E+07	0	2.12E+07	4.88E+07	1.77E+07	2.27E+07	4.17E+07	2.18E+07	8215238.5	5.10E+07	5.28E+07	6858914	0	0	1.05E+07	6921916	8573925	5811840	1.20E+07	1.42E+07	0	0	0	0	1.26E+07	0	1.73E+07	1.91E+07	1.46E+07	1.86E+07	1.67E+07	1.78E+07	0	1.94E+07	1.79E+07	0	0	0	0	0	0	0	9860495	8918573	0	0	0	
sp|P49005|DPOD2_HUMAN	P49005	DPOD2_HUMAN	POLD2	469	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA polymerase delta subunit 2	1	0.999	4	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5647855.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49006|MRP_HUMAN	P49006	MRP_HUMAN	MARCKSL1	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	MARCKS-related protein	1	0.999	11	220	220	220	11	11	8	9	9	10	9	9	10	12	11	12	6	11	5	8	9	8	10	7	8	9	8	10	11	11	8	9	9	10	9	9	10	12	11	12	6	11	5	8	9	8	10	7	8	9	8	10	11	11	8	9	9	10	9	9	10	12	11	12	6	11	5	8	9	8	10	7	8	9	8	10	4.69E+08	5.99E+08	1.95E+08	9.30E+08	8.73E+08	6.26E+08	3.73E+08	1.10E+09	9.11E+08	9.38E+08	9.11E+08	9.14E+08	6.92E+08	8.94E+08	1.74E+08	8.68E+08	9.27E+08	1.21E+09	1.62E+09	9.24E+08	1.03E+09	1.24E+09	8.86E+08	1.18E+09	2.58E+08	2.98E+08	2.50E+08	3.88E+08	5.14E+08	3.86E+08	3.98E+08	3.98E+08	4.19E+08	4.05E+08	3.94E+08	4.46E+08	3.98E+08	3.75E+08	2.19E+08	4.31E+08	4.20E+08	4.20E+08	4.95E+08	4.43E+08	4.63E+08	4.12E+08	4.37E+08	3.60E+08	
sp|P49023|PAXI_HUMAN	P49023	PAXI_HUMAN	PXN	591	Homo sapiens OX=9606	1:Experimental evidence at protein level	Paxillin	1	0.999	18	298	298	298	15	12	12	11	14	14	14	12	13	15	13	15	13	14	7	12	14	12	10	10	14	11	11	10	15	12	12	11	14	14	14	12	13	15	13	15	13	14	7	12	14	12	10	10	14	11	11	10	15	12	12	11	14	14	14	12	13	15	13	15	13	14	7	12	14	12	10	10	14	11	11	10	6.91E+08	6.55E+08	7.42E+08	7.51E+08	6.71E+08	7.75E+08	6.15E+08	7.19E+08	9.49E+08	8.21E+08	7.62E+08	9.59E+08	6.61E+08	6.96E+08	5.78E+08	5.21E+08	5.96E+08	6.49E+08	6.50E+08	7.10E+08	7.43E+08	6.00E+08	6.61E+08	4.24E+08	2.13E+08	2.33E+08	2.36E+08	3.02E+08	2.50E+08	2.61E+08	2.61E+08	2.74E+08	3.04E+08	2.73E+08	2.76E+08	3.26E+08	2.17E+08	2.19E+08	2.00E+08	1.69E+08	2.09E+08	2.18E+08	2.19E+08	2.23E+08	2.51E+08	2.09E+08	2.19E+08	2.13E+08	
sp|P49069|CAMLG_HUMAN	P49069	CAMLG_HUMAN	CAMLG	296	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guided entry of tail-anchored proteins factor CAMLG	1	0.999	5	37	37	37	2	2	1	2	2	2	2	2	2	2	4	4	1	1	1	1	0	2	0	0	0	1	3	0	2	2	1	2	2	2	2	2	2	2	4	4	1	1	1	1	0	2	0	0	0	1	3	0	2	2	1	2	2	2	2	2	2	2	4	4	1	1	1	1	0	2	0	0	0	1	3	0	0	1.38E+07	0	2.10E+07	1.64E+07	2.25E+07	7730165.5	1.38E+07	1.79E+07	2.67E+07	2.28E+07	1.50E+07	8513657	0	0	0	0	9055445	0	0	0	6463579.5	8145399	0	0	9218012	0	1.41E+07	0	1.43E+07	0	0	0	1.66E+07	1.49E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49116|NR2C2_HUMAN	P49116	NR2C2_HUMAN	NR2C2	596	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear receptor subfamily 2 group C member 2	0.9938	0.9973	2	3	3	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	535192.7	0	0	0	363283.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49137|MAPK2_HUMAN	P49137	MAPK2_HUMAN	MAPKAPK2	400	Homo sapiens OX=9606	1:Experimental evidence at protein level	MAP kinase-activated protein kinase 2	1	0.999	10	101	72	101	4	6	5	4	4	5	5	5	5	3	4	6	2	5	3	3	4	3	6	3	6	2	4	4	3	5	4	3	3	4	3	4	4	2	4	2	0	4	2	2	3	2	5	2	4	2	2	3	4	6	5	4	4	5	5	5	5	3	4	6	2	5	3	3	4	3	6	3	6	2	4	4	1.10E+08	7.60E+07	5.87E+07	8.51E+07	8.16E+07	6.13E+07	8.36E+07	5.24E+07	5.28E+07	7.33E+07	6.97E+07	7.60E+07	5.99E+07	4.99E+07	4.44E+07	5.16E+07	6.82E+07	1.81E+07	4.71E+07	3.77E+07	7.61E+07	1.69E+07	4.56E+07	4.22E+07	3.41E+07	3.43E+07	1.73E+07	3.56E+07	3.19E+07	3.68E+07	3.32E+07	2.23E+07	3.56E+07	3.14E+07	2.87E+07	3.09E+07	1.76E+07	2.62E+07	2.77E+07	2.07E+07	2.12E+07	2.57E+07	1.77E+07	2.46E+07	2.20E+07	1.39E+07	2.17E+07	2.23E+07	
sp|P49184|DNSL1_HUMAN	P49184	DNSL1_HUMAN	DNASE1L1	302	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-1-like 1	0.9613	0.999	1	9	9	9	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48E+07	0	0	0	8304073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49189|AL9A1_HUMAN	P49189	AL9A1_HUMAN	ALDH9A1	494	Homo sapiens OX=9606	1:Experimental evidence at protein level	4-trimethylaminobutyraldehyde dehydrogenase	1	0.999	21	359	359	359	15	13	15	16	15	14	17	14	16	14	13	14	15	16	13	13	19	13	14	14	12	14	17	23	15	13	15	16	15	14	17	14	16	14	13	14	15	16	13	13	19	13	14	14	12	14	17	23	15	13	15	16	15	14	17	14	16	14	13	14	15	16	13	13	19	13	14	14	12	14	17	23	8.83E+08	7.66E+08	7.26E+08	8.18E+08	8.29E+08	9.67E+08	1.00E+09	8.75E+08	9.59E+08	9.15E+08	8.19E+08	6.50E+08	9.07E+08	9.52E+08	7.21E+08	8.60E+08	9.40E+08	7.04E+08	7.80E+08	6.74E+08	9.70E+08	8.41E+08	8.29E+08	7.32E+08	1.97E+08	1.87E+08	1.77E+08	1.95E+08	1.55E+08	2.03E+08	2.00E+08	1.97E+08	1.87E+08	1.83E+08	1.77E+08	1.76E+08	1.89E+08	1.72E+08	1.69E+08	1.95E+08	1.94E+08	1.91E+08	1.75E+08	1.80E+08	1.93E+08	1.68E+08	1.71E+08	1.82E+08	
sp|P49207|RL34_HUMAN	P49207	RL34_HUMAN	RPL34	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L34	1	0.999	10	188	188	188	8	7	8	6	6	7	6	7	7	8	7	6	9	6	7	5	7	11	8	11	10	10	12	9	8	7	8	6	6	7	6	7	7	8	7	6	9	6	7	5	7	11	8	11	10	10	12	9	8	7	8	6	6	7	6	7	7	8	7	6	9	6	7	5	7	11	8	11	10	10	12	9	1.36E+09	9.89E+08	1.53E+08	1.23E+09	1.68E+09	1.62E+09	5.64E+08	1.54E+09	1.54E+09	1.14E+09	9.51E+08	1.43E+09	1.70E+09	1.31E+09	1.30E+09	1.10E+09	1.97E+09	1.90E+09	1.97E+09	9.32E+08	2.31E+09	1.58E+09	1.53E+09	9.65E+08	5.58E+08	4.24E+08	2.47E+08	5.98E+08	8.35E+08	7.45E+08	7.51E+08	6.85E+08	7.36E+08	5.43E+08	5.01E+08	6.77E+08	7.30E+08	5.57E+08	4.64E+08	8.65E+08	9.74E+08	8.59E+08	8.81E+08	8.66E+08	1.01E+09	7.18E+08	7.94E+08	8.22E+08	
sp|P49247|RPIA_HUMAN	P49247	RPIA_HUMAN	RPIA	311	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribose-5-phosphate isomerase	1	0.999	3	10	10	10	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6826917.5	0	9333404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49257|LMAN1_HUMAN	P49257	LMAN1_HUMAN	LMAN1	510	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein ERGIC-53	1	0.999	22	485	485	485	20	20	17	22	15	23	24	15	14	15	19	19	16	20	24	21	24	18	22	19	23	23	27	25	20	20	17	22	15	23	24	15	14	15	19	19	16	20	24	21	24	18	22	19	23	23	27	25	20	20	17	22	15	23	24	15	14	15	19	19	16	20	24	21	24	18	22	19	23	23	27	25	2.09E+09	2.29E+09	1.75E+09	2.02E+09	9.16E+08	2.11E+09	1.84E+09	1.76E+09	1.79E+09	1.42E+09	2.15E+09	1.58E+09	2.05E+09	1.91E+09	1.74E+09	1.83E+09	2.25E+09	1.38E+09	2.27E+09	1.97E+09	2.14E+09	2.91E+09	2.73E+09	2.35E+09	3.98E+08	3.94E+08	3.61E+08	4.07E+08	3.37E+08	3.88E+08	3.64E+08	3.90E+08	3.84E+08	3.86E+08	3.87E+08	3.88E+08	4.29E+08	3.86E+08	3.51E+08	3.97E+08	3.87E+08	4.72E+08	4.42E+08	4.24E+08	4.03E+08	4.48E+08	4.48E+08	4.46E+08	
sp|P49321|NASP_HUMAN	P49321	NASP_HUMAN	NASP	788	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear autoantigenic sperm protein	1	0.999	35	464	464	464	8	7	5	12	14	12	9	11	6	8	10	10	25	24	22	32	28	26	31	34	31	34	32	33	8	7	5	12	14	12	9	11	6	8	10	10	25	24	22	32	28	26	31	34	31	34	32	33	8	7	5	12	14	12	9	11	6	8	10	10	25	24	22	32	28	26	31	34	31	34	32	33	2.64E+08	3.15E+08	1.87E+08	4.43E+08	4.92E+08	3.35E+08	4.43E+08	4.46E+08	3.99E+08	3.88E+08	3.72E+08	4.48E+08	1.51E+09	9.29E+08	1.23E+09	1.40E+09	1.37E+09	1.65E+09	1.65E+09	1.90E+09	1.77E+09	1.50E+09	1.49E+09	1.33E+09	8.51E+07	7.36E+07	8.29E+07	1.02E+08	1.04E+08	1.02E+08	1.09E+08	1.13E+08	1.03E+08	8.86E+07	8.67E+07	1.07E+08	2.51E+08	2.31E+08	2.16E+08	2.16E+08	2.55E+08	2.53E+08	2.66E+08	2.71E+08	2.81E+08	2.34E+08	2.31E+08	1.99E+08	
sp|P49327|FAS_HUMAN	P49327	FAS_HUMAN	FASN	2511	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fatty acid synthase	1	0.999	97	1628	1613	1628	70	72	76	74	69	64	72	65	65	67	69	60	74	63	67	65	64	65	71	60	68	74	69	65	70	72	76	74	68	64	71	64	64	66	68	59	72	63	67	64	63	65	70	59	67	74	68	65	70	72	76	74	69	64	72	65	65	67	69	60	74	63	67	65	64	65	71	60	68	74	69	65	5.96E+09	5.45E+09	5.56E+09	5.36E+09	5.40E+09	4.87E+09	5.42E+09	4.94E+09	5.56E+09	5.54E+09	5.49E+09	5.23E+09	5.10E+09	4.01E+09	5.23E+09	4.35E+09	4.35E+09	4.24E+09	4.90E+09	4.92E+09	4.75E+09	4.79E+09	4.27E+09	4.57E+09	3.31E+08	3.42E+08	3.34E+08	3.08E+08	3.03E+08	3.26E+08	3.26E+08	3.03E+08	3.23E+08	3.20E+08	3.21E+08	3.13E+08	2.62E+08	2.52E+08	3.11E+08	2.78E+08	2.87E+08	2.76E+08	2.72E+08	2.89E+08	2.86E+08	2.73E+08	2.73E+08	2.82E+08	
sp|P49354|FNTA_HUMAN	P49354	FNTA_HUMAN	FNTA	379	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1	0.999	11	135	135	135	1	5	3	5	4	5	5	6	7	7	8	5	4	6	4	6	7	7	7	6	8	8	6	5	1	5	3	5	4	5	5	6	7	7	8	5	4	6	4	6	7	7	7	6	8	8	6	5	1	5	3	5	4	5	5	6	7	7	8	5	4	6	4	6	7	7	7	6	8	8	6	5	8.38E+07	2.53E+08	5.63E+07	1.56E+08	5.55E+07	6.95E+07	7.15E+07	8.47E+07	2.74E+08	2.92E+08	3.04E+08	9.98E+07	2.30E+08	1.16E+08	6.18E+07	7.88E+07	2.54E+08	8.39E+07	1.34E+08	1.70E+08	2.61E+08	1.40E+08	8.74E+07	2.32E+08	5.53E+07	6.19E+07	5.66E+07	5.90E+07	6.89E+07	5.93E+07	5.97E+07	6.12E+07	6.79E+07	6.52E+07	6.50E+07	5.57E+07	6.25E+07	5.88E+07	3.63E+07	5.78E+07	6.47E+07	6.14E+07	6.52E+07	4.90E+07	6.13E+07	6.48E+07	6.01E+07	5.54E+07	
sp|P49356|FNTB_HUMAN	P49356	FNTB_HUMAN	FNTB	437	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein farnesyltransferase subunit beta	1	0.999	6	26	26	26	1	2	0	2	2	3	0	0	0	1	2	2	1	0	0	2	0	0	1	2	0	1	2	2	1	2	0	2	2	3	0	0	0	1	2	2	1	0	0	2	0	0	1	2	0	1	2	2	1	2	0	2	2	3	0	0	0	1	2	2	1	0	0	2	0	0	1	2	0	1	2	2	0	0	0	0	0	2.54E+07	0	0	0	0	2.06E+07	2.00E+07	0	0	0	0	0	0	0	5654424	0	0	1.49E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49366|DHYS_HUMAN	P49366	DHYS_HUMAN	DHPS	369	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyhypusine synthase	1	0.999	3	11	11	11	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3962789	0	0	0	6098757.5	5055780.5	0	0	8730817	5930061.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1	0.999	43	1002	995	1002	36	42	37	54	51	45	31	38	40	47	40	41	38	39	37	42	46	46	38	40	39	47	46	42	36	42	37	53	51	45	30	38	40	46	40	41	38	38	37	42	46	46	37	40	39	46	46	41	36	42	37	54	51	45	31	38	40	47	40	41	38	39	37	42	46	46	38	40	39	47	46	42	4.93E+09	4.30E+09	4.29E+09	4.91E+09	4.04E+09	4.54E+09	4.03E+09	4.65E+09	4.22E+09	4.19E+09	4.36E+09	3.98E+09	4.82E+09	4.18E+09	4.36E+09	4.06E+09	3.06E+09	4.72E+09	3.67E+09	3.67E+09	4.42E+09	4.11E+09	4.28E+09	4.79E+09	5.83E+08	6.00E+08	5.72E+08	6.20E+08	6.19E+08	6.20E+08	5.53E+08	5.47E+08	5.79E+08	5.40E+08	5.43E+08	5.51E+08	5.37E+08	5.07E+08	5.00E+08	5.42E+08	4.96E+08	5.36E+08	4.91E+08	5.04E+08	5.31E+08	5.24E+08	5.35E+08	5.35E+08	
sp|P49406|RM19_HUMAN	P49406	RM19_HUMAN	MRPL19	292	Homo sapiens OX=9606	1:Experimental evidence at protein level	"39S ribosomal protein L19, mitochondrial"	1	0.999	10	118	118	118	6	4	4	2	5	5	5	4	4	4	5	4	8	5	4	4	6	4	7	6	5	5	7	5	6	4	4	2	5	5	5	4	4	4	5	4	8	5	4	4	6	4	7	6	5	5	7	5	6	4	4	2	5	5	5	4	4	4	5	4	8	5	4	4	6	4	7	6	5	5	7	5	1.19E+08	5.25E+07	1.01E+08	4.11E+07	5.83E+07	9.74E+07	1.04E+08	6.28E+07	9.40E+07	8.81E+07	9.63E+07	1.03E+08	1.14E+08	5.42E+07	1.42E+08	9.68E+07	1.26E+08	1.16E+08	1.28E+08	1.25E+08	1.29E+08	3.80E+07	1.12E+08	1.01E+08	5.65E+07	5.39E+07	4.80E+07	4.52E+07	2.81E+07	3.58E+07	5.38E+07	3.86E+07	4.32E+07	4.50E+07	4.06E+07	4.93E+07	4.30E+07	4.05E+07	5.27E+07	4.66E+07	4.50E+07	4.83E+07	4.41E+07	4.15E+07	5.45E+07	3.62E+07	4.63E+07	5.70E+07	
sp|P49407|ARRB1_HUMAN	P49407	ARRB1_HUMAN	ARRB1	418	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-arrestin-1	1	0.999	3	10	9	10	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1.17E+07	0	1.69E+07	0	0	0	0	0	0	0	8882589	0	5974191.5	0	7534591.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	452	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Elongation factor Tu, mitochondrial"	1	0.999	31	779	779	779	31	30	31	30	35	31	34	35	31	40	41	27	29	26	34	36	33	31	31	30	34	37	29	33	31	30	31	30	35	31	34	35	31	40	41	27	29	26	34	36	33	31	31	30	34	37	29	33	31	30	31	30	35	31	34	35	31	40	41	27	29	26	34	36	33	31	31	30	34	37	29	33	5.33E+09	4.84E+09	4.57E+09	4.98E+09	4.98E+09	5.80E+09	4.45E+09	5.40E+09	5.05E+09	5.42E+09	5.20E+09	3.99E+09	5.93E+09	5.46E+09	5.63E+09	5.39E+09	4.44E+09	6.43E+09	4.94E+09	5.42E+09	6.12E+09	5.58E+09	4.34E+09	6.17E+09	5.64E+08	5.61E+08	5.45E+08	5.26E+08	5.01E+08	5.68E+08	5.43E+08	5.30E+08	5.36E+08	5.22E+08	5.10E+08	4.48E+08	5.92E+08	6.07E+08	5.70E+08	5.33E+08	5.09E+08	6.19E+08	5.09E+08	5.49E+08	5.74E+08	5.35E+08	5.28E+08	5.92E+08	
