Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
sp|P17706|PTN2_HUMAN	P17706	PTN2_HUMAN	PTPN2	415	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 2	0	0	4.72E+07	2.18E+08	1.86E+08	2.03E+08	2.44E+08	7.52E+07	2.56E+08	0	0	0	1.79E+08	1.46E+08	1.92E+08	1.25E+08	1.93E+07	8.06E+07	0	6.28E+07	8.45E+07	7.21E+07	0	2.40E+08	2.34E+08	2.62E+08	1.37E+08	1.31E+08	2.63E+08	0	2.74E+08	2.10E+08	2.10E+08	2.49E+08	2.75E+08	6.82E+07	
sp|P17707|DCAM_HUMAN	P17707	DCAM_HUMAN	AMD1	334	Homo sapiens OX=9606	1:Experimental evidence at protein level	S-adenosylmethionine decarboxylase proenzyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17812|PYRG1_HUMAN	P17812	PYRG1_HUMAN	CTPS1	591	Homo sapiens OX=9606	1:Experimental evidence at protein level	CTP synthase 1	5.13E+07	8.33E+07	1.23E+08	1.91E+08	1.81E+08	1.26E+08	1.45E+08	1.15E+08	1.68E+08	9.81E+07	1.09E+08	8.04E+07	1.49E+08	1.38E+08	1.62E+08	1.31E+08	4.86E+07	1.75E+08	7.98E+07	7.34E+07	6.83E+07	8.58E+07	6.96E+07	2.32E+08	2.77E+08	4.21E+08	2.43E+08	2.21E+08	2.11E+08	9.69E+07	2.36E+08	2.73E+08	2.52E+08	2.62E+08	2.07E+08	1.58E+08	
sp|P17813|EGLN_HUMAN	P17813	EGLN_HUMAN	ENG	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoglin	2.47E+08	3.03E+08	2.14E+08	0	0	0	0	0	0	2.79E+08	3.27E+08	2.57E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17844|DDX5_HUMAN	P17844	DDX5_HUMAN	DDX5	614	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX5	2.85E+08	4.43E+08	8.08E+08	1.16E+09	1.28E+09	1.42E+09	1.19E+09	6.89E+08	1.20E+09	4.01E+08	4.65E+08	3.93E+08	1.41E+09	1.45E+09	1.45E+09	8.29E+08	3.79E+08	8.19E+08	5.39E+08	3.24E+08	5.65E+08	4.41E+08	5.51E+08	1.41E+09	1.34E+09	1.05E+09	9.45E+08	8.78E+08	9.33E+08	4.86E+08	9.82E+08	1.23E+09	1.41E+09	1.24E+09	7.90E+08	6.08E+08	
sp|P17858|PFKAL_HUMAN	P17858	PFKAL_HUMAN	PFKL	780	Homo sapiens OX=9606	1:Experimental evidence at protein level	"ATP-dependent 6-phosphofructokinase, liver type"	0	3.49E+07	7.67E+07	2.92E+08	2.64E+08	9.64E+07	2.43E+08	8.56E+07	2.26E+08	4.25E+07	4.78E+07	5.26E+07	1.58E+08	1.11E+08	2.31E+08	2.37E+08	6.32E+07	2.90E+08	8.95E+07	8.67E+07	1.45E+08	1.24E+08	6.86E+07	6.42E+07	8.71E+07	5.08E+08	1.49E+08	1.25E+08	1.59E+08	1.54E+08	2.79E+08	3.12E+08	1.70E+08	3.03E+08	2.12E+08	9.56E+07	
sp|P17900|SAP3_HUMAN	P17900	SAP3_HUMAN	GM2A	193	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ganglioside GM2 activator	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97E+07	0	9.33E+07	1.04E+08	6.13E+07	0	0	0	0	0	4.99E+07	0	0	7.44E+07	7.98E+07	5.31E+07	0	5.54E+07	0	0	0	7.96E+07	1.36E+08	
sp|P17931|LEG3_HUMAN	P17931	LEG3_HUMAN	LGALS3	250	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-3	7.63E+08	6.74E+08	5.00E+08	8.49E+08	8.39E+08	1.20E+09	1.19E+09	1.76E+09	1.09E+09	7.71E+08	6.90E+08	7.44E+08	1.32E+09	1.28E+09	1.13E+09	2.23E+09	2.24E+09	1.81E+09	1.07E+09	1.04E+09	7.31E+08	8.84E+08	1.04E+09	1.15E+09	1.13E+09	6.05E+08	1.50E+09	1.56E+09	1.27E+09	8.03E+08	1.19E+09	1.20E+09	1.26E+09	1.16E+09	1.79E+09	2.06E+09	
sp|P17936|IBP3_HUMAN	P17936	IBP3_HUMAN	IGFBP3	291	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P17980|PRS6A_HUMAN	P17980	PRS6A_HUMAN	PSMC3	439	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome regulatory subunit 6A	4.05E+08	4.47E+08	3.33E+08	2.88E+08	2.75E+08	4.01E+08	4.33E+08	6.15E+08	3.85E+08	4.77E+08	4.95E+08	3.98E+08	4.62E+08	4.20E+08	3.70E+08	5.04E+08	5.52E+08	4.59E+08	4.64E+08	4.12E+08	4.06E+08	4.41E+08	5.16E+08	4.50E+08	4.21E+08	2.72E+08	6.41E+08	6.27E+08	4.21E+08	3.12E+08	3.11E+08	4.25E+08	4.54E+08	3.44E+08	3.50E+08	5.96E+08	
sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	TCP1	556	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit alpha	9.91E+07	1.74E+08	4.78E+08	4.74E+08	5.47E+08	3.98E+08	4.11E+08	1.43E+08	3.72E+08	2.46E+08	3.37E+08	2.54E+08	4.78E+08	4.60E+08	4.99E+08	3.64E+08	9.23E+07	4.05E+08	2.53E+08	1.12E+08	3.34E+08	3.58E+08	2.41E+08	3.61E+08	4.31E+08	5.96E+08	2.36E+08	2.26E+08	2.84E+08	4.83E+08	3.78E+08	4.14E+08	4.27E+08	4.51E+08	2.74E+08	1.48E+08	
sp|P18031|PTN1_HUMAN	P18031	PTN1_HUMAN	PTPN1	435	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 1	4.33E+07	9.78E+07	1.61E+08	5.49E+07	4.90E+07	4.76E+07	3.66E+07	0	5.30E+07	6.47E+07	1.10E+08	5.38E+07	7.09E+07	7.75E+07	8.72E+07	3.96E+07	0	5.66E+07	1.07E+08	5.08E+07	1.27E+08	1.17E+08	9.89E+07	6.97E+07	8.53E+07	5.26E+07	3.73E+07	4.17E+07	0	1.04E+08	0	5.86E+07	6.66E+07	6.56E+07	0	3.12E+07	
sp|P18074|ERCC2_HUMAN	P18074	ERCC2_HUMAN	ERCC2	760	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription and DNA repair factor IIH helicase subunit XPD	0	0	4.97E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97E+07	0	0	0	0	0	0	0	2.53E+07	0	0	
sp|P18077|RL35A_HUMAN	P18077	RL35A_HUMAN	RPL35A	110	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L35a	4.67E+08	4.58E+08	1.02E+09	9.60E+08	1.05E+09	4.43E+08	9.31E+08	7.26E+08	1.15E+09	4.76E+08	7.23E+08	5.86E+08	3.94E+08	2.05E+08	9.20E+08	9.18E+08	2.46E+08	1.03E+09	4.27E+08	7.86E+08	7.86E+08	6.40E+08	4.24E+08	1.83E+08	2.12E+08	2.38E+09	8.49E+08	8.72E+08	1.20E+09	6.42E+08	7.76E+08	7.96E+08	4.59E+08	1.05E+09	9.05E+08	4.31E+08	
sp|P18084|ITB5_HUMAN	P18084	ITB5_HUMAN	ITGB5	799	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin beta-5	5.65E+07	4.51E+07	0	0	0	3.78E+07	0	8.72E+07	5.49E+07	0	4.31E+07	0	3.27E+07	2.19E+07	2.14E+07	4.92E+07	8.44E+07	6.36E+07	6.69E+07	8.27E+07	0	7.90E+07	5.45E+07	4.46E+07	4.32E+07	0	7.03E+07	9.95E+07	7.72E+07	6.16E+07	7.11E+07	0	3.52E+07	3.44E+07	8.17E+07	8.43E+07	
sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ARF4	180	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor 4	2.83E+08	6.58E+08	1.52E+09	4.02E+08	3.35E+08	2.42E+08	2.61E+08	2.44E+08	2.05E+08	5.82E+08	9.38E+08	4.48E+08	5.93E+08	4.98E+08	4.77E+08	3.52E+08	2.68E+08	6.18E+08	6.34E+08	2.83E+08	5.30E+08	6.61E+08	6.97E+08	2.79E+08	2.58E+08	3.17E+08	2.71E+08	3.02E+08	2.20E+08	7.67E+08	2.14E+08	3.96E+08	4.18E+08	3.66E+08	1.79E+08	4.21E+08	
sp|P18124|RL7_HUMAN	P18124	RL7_HUMAN	RPL7	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L7	8.17E+08	1.04E+09	1.84E+09	3.13E+09	3.22E+09	6.72E+08	2.54E+09	1.39E+09	2.67E+09	1.04E+09	1.15E+09	1.31E+09	8.43E+08	2.78E+08	1.55E+09	1.76E+09	4.72E+08	1.44E+09	8.68E+08	1.01E+09	2.20E+09	1.43E+09	8.10E+08	3.21E+08	3.66E+08	4.79E+09	2.03E+09	1.92E+09	2.31E+09	1.63E+09	2.35E+09	3.02E+09	1.31E+09	2.76E+09	2.08E+09	6.92E+08	
sp|P18146|EGR1_HUMAN	P18146	EGR1_HUMAN	EGR1	543	Homo sapiens OX=9606	1:Experimental evidence at protein level	Early growth response protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	VCL	1134	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vinculin	2.56E+08	4.73E+08	6.93E+08	4.35E+08	4.36E+08	3.88E+08	4.50E+08	3.70E+08	3.95E+08	5.08E+08	5.51E+08	4.79E+08	5.86E+08	5.36E+08	5.98E+08	6.36E+08	4.55E+08	6.16E+08	7.73E+08	4.95E+08	7.67E+08	8.19E+08	7.89E+08	5.06E+08	4.06E+08	6.00E+08	5.84E+08	5.64E+08	5.34E+08	8.52E+08	7.16E+08	7.24E+08	7.43E+08	7.18E+08	6.12E+08	7.18E+08	
sp|P18405|S5A1_HUMAN	P18405	S5A1_HUMAN	SRD5A1	259	Homo sapiens OX=9606	1:Experimental evidence at protein level	3-oxo-5-alpha-steroid 4-dehydrogenase 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P18433|PTPRA_HUMAN	P18433	PTPRA_HUMAN	PTPRA	802	Homo sapiens OX=9606	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase alpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P18440|ARY1_HUMAN	P18440	ARY1_HUMAN	NAT1	290	Homo sapiens OX=9606	1:Experimental evidence at protein level	Arylamine N-acetyltransferase 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P18564|ITB6_HUMAN	P18564	ITB6_HUMAN	ITGB6	788	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin beta-6	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72E+07	0	5.82E+07	9.65E+07	0	0	0	0	0	0	0	0	0	9.63E+07	0	7.88E+07	0	0	0	6.41E+07	0	1.10E+08	1.58E+08	
sp|P18583|SON_HUMAN	P18583	SON_HUMAN	SON	2426	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein SON	5.78E+07	2.93E+07	9.44E+07	2.34E+08	2.20E+08	5.58E+07	1.89E+08	6.66E+07	1.90E+08	3.58E+07	4.49E+07	5.96E+07	6.60E+07	3.36E+07	1.08E+08	1.07E+08	4.21E+07	1.06E+08	5.13E+07	6.26E+07	1.10E+08	5.61E+07	5.09E+07	9.30E+07	3.06E+07	3.02E+08	8.49E+07	7.77E+07	1.50E+08	6.60E+07	1.52E+08	2.06E+08	8.45E+07	1.83E+08	1.40E+08	6.17E+07	
sp|P18615|NELFE_HUMAN	P18615	NELFE_HUMAN	NELFE	380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Negative elongation factor E	1.19E+08	7.53E+07	9.41E+07	6.26E+07	7.52E+07	8.85E+07	7.63E+07	0	6.34E+07	7.35E+07	6.37E+07	1.08E+08	5.28E+07	4.51E+07	5.19E+07	5.76E+07	0	0	1.05E+08	1.21E+08	1.41E+08	1.13E+08	1.09E+08	7.05E+07	6.97E+07	7.10E+07	6.29E+07	8.36E+07	9.52E+07	1.12E+08	9.61E+07	6.02E+07	7.75E+07	6.64E+07	9.50E+07	0	
sp|P18621|RL17_HUMAN	P18621	RL17_HUMAN	RPL17	184	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L17	5.12E+08	3.81E+08	8.91E+08	1.08E+09	9.61E+08	4.68E+08	1.12E+09	4.20E+08	1.26E+09	4.48E+08	5.81E+08	5.81E+08	8.90E+08	6.85E+08	9.31E+08	9.52E+08	2.34E+08	8.95E+08	3.97E+08	4.72E+08	9.55E+08	4.84E+08	4.73E+08	3.23E+08	3.12E+08	1.49E+09	7.42E+08	6.01E+08	1.01E+09	5.23E+08	1.21E+09	1.07E+09	7.25E+08	1.20E+09	9.28E+08	3.12E+08	
sp|P18669|PGAM1_HUMAN	P18669	PGAM1_HUMAN	PGAM1	254	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoglycerate mutase 1	2.24E+09	3.20E+09	3.50E+09	1.12E+09	1.26E+09	1.58E+09	1.17E+09	1.50E+09	1.13E+09	3.06E+09	3.39E+09	3.00E+09	1.53E+09	1.48E+09	1.32E+09	1.24E+09	1.26E+09	1.42E+09	3.59E+09	2.88E+09	3.53E+09	3.08E+09	3.41E+09	1.13E+09	1.16E+09	7.46E+08	1.21E+09	1.17E+09	9.85E+08	3.60E+09	7.86E+08	1.10E+09	1.22E+09	1.09E+09	8.78E+08	1.06E+09	
sp|P18754|RCC1_HUMAN	P18754	RCC1_HUMAN	RCC1	421	Homo sapiens OX=9606	1:Experimental evidence at protein level	Regulator of chromosome condensation	8.65E+07	1.20E+08	1.97E+08	2.36E+08	2.32E+08	1.96E+08	1.67E+08	1.46E+08	1.40E+08	1.30E+08	1.42E+08	1.07E+08	2.07E+08	2.12E+08	2.44E+08	1.68E+08	1.45E+08	2.06E+08	1.81E+08	9.50E+07	1.45E+08	1.42E+08	1.91E+08	1.92E+08	1.83E+08	2.04E+08	1.53E+08	1.90E+08	1.71E+08	1.53E+08	1.16E+08	2.07E+08	2.07E+08	1.85E+08	9.76E+07	1.58E+08	
sp|P18827|SDC1_HUMAN	P18827	SDC1_HUMAN	SDC1	310	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syndecan-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P18846|ATF1_HUMAN	P18846	ATF1_HUMAN	ATF1	271	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclic AMP-dependent transcription factor ATF-1	1.89E+08	1.61E+08	1.23E+08	9.54E+07	0	0	0	1.41E+08	1.07E+08	1.82E+08	1.79E+08	1.68E+08	7.44E+07	8.07E+07	0	0	1.51E+08	9.59E+07	1.64E+08	1.69E+08	0	1.32E+08	1.63E+08	0	6.97E+07	0	0	1.10E+08	8.97E+07	1.58E+08	7.78E+07	0	0	1.13E+08	1.14E+08	1.49E+08	
sp|P18858|DNLI1_HUMAN	P18858	DNLI1_HUMAN	LIG1	919	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA ligase 1	8.53E+07	3.25E+07	5.73E+07	1.47E+08	1.11E+08	1.00E+08	1.15E+08	6.85E+07	6.56E+07	3.93E+07	5.51E+07	6.86E+07	8.47E+07	9.57E+07	8.84E+07	5.25E+07	0	4.48E+07	2.72E+07	6.38E+07	8.29E+07	5.78E+07	0	9.41E+07	9.92E+07	1.06E+08	7.97E+07	8.69E+07	1.12E+08	4.60E+07	7.44E+07	7.40E+07	7.83E+07	7.75E+07	9.89E+07	2.06E+07	
sp|P18859|ATP5J_HUMAN	P18859	ATP5J_HUMAN	ATP5PF	108	Homo sapiens OX=9606	1:Experimental evidence at protein level	"ATP synthase-coupling factor 6, mitochondrial"	2.55E+08	1.68E+08	1.53E+08	2.09E+08	2.04E+08	2.65E+08	2.63E+08	4.34E+08	2.69E+08	2.41E+08	2.00E+08	1.56E+08	4.15E+08	3.83E+08	3.65E+08	4.53E+08	5.06E+08	3.58E+08	1.45E+08	1.34E+08	1.03E+08	1.02E+08	1.52E+08	2.25E+08	2.25E+08	1.04E+08	3.48E+08	3.30E+08	2.14E+08	1.01E+08	2.32E+08	3.12E+08	3.01E+08	2.96E+08	2.73E+08	5.16E+08	
sp|P18887|XRCC1_HUMAN	P18887	XRCC1_HUMAN	XRCC1	633	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA repair protein XRCC1	0	2.17E+07	3.67E+07	6.84E+07	7.64E+07	1.04E+08	1.18E+08	4.86E+07	1.26E+08	2.85E+07	2.53E+07	4.53E+07	7.04E+07	7.22E+07	7.32E+07	5.75E+07	2.50E+07	4.94E+07	3.32E+07	3.84E+07	5.50E+07	4.06E+07	2.84E+07	5.68E+07	7.47E+07	6.35E+07	6.85E+07	5.99E+07	1.15E+08	4.64E+07	1.20E+08	6.42E+07	7.67E+07	7.29E+07	1.06E+08	3.02E+07	
sp|P19012|K1C15_HUMAN	P19012	K1C15_HUMAN	KRT15	456	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Keratin, type I cytoskeletal 15"	0	0	0	2.74E+08	3.33E+08	2.99E+08	3.77E+08	5.38E+08	2.94E+08	0	0	0	5.01E+08	5.10E+08	5.37E+08	7.01E+08	7.41E+08	6.29E+08	0	0	0	0	0	4.87E+08	4.48E+08	4.48E+08	9.29E+08	8.99E+08	6.72E+08	0	6.29E+08	6.82E+08	7.56E+08	6.98E+08	7.64E+08	1.05E+09	
sp|P19013|K2C4_HUMAN	P19013	K2C4_HUMAN	KRT4	520	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Keratin, type II cytoskeletal 4"	0	0	0	9.09E+08	8.76E+08	8.92E+08	1.11E+09	1.04E+09	1.19E+09	0	0	0	9.34E+08	9.62E+08	1.02E+09	1.06E+09	9.13E+08	1.04E+09	0	0	0	0	0	9.85E+08	9.55E+08	1.04E+09	1.19E+09	1.16E+09	1.30E+09	0	1.03E+09	1.27E+09	1.31E+09	1.32E+09	1.15E+09	1.14E+09	
sp|P19021|AMD_HUMAN	P19021	AMD_HUMAN	PAM	973	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-glycine alpha-amidating monooxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P19174|PLCG1_HUMAN	P19174	PLCG1_HUMAN	PLCG1	1290	Homo sapiens OX=9606	1:Experimental evidence at protein level	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	0	0	6.61E+07	4.69E+07	5.31E+07	0	0	0	0	4.24E+07	3.95E+07	4.87E+07	2.57E+07	0	3.65E+07	3.67E+07	0	2.11E+07	0	0	4.23E+07	3.91E+07	0	0	0	8.92E+07	0	0	3.98E+07	3.66E+07	5.84E+07	4.89E+07	3.33E+07	5.38E+07	5.25E+07	0	
sp|P19256|LFA3_HUMAN	P19256	LFA3_HUMAN	CD58	250	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lymphocyte function-associated antigen 3	0	0	0	0	0	0	0	0	0	4.69E+07	0	0	0	0	0	0	2.45E+07	0	1.25E+08	7.63E+07	6.37E+07	1.05E+08	1.27E+08	0	0	0	0	0	0	1.35E+08	0	0	0	0	0	0	
sp|P19338|NUCL_HUMAN	P19338	NUCL_HUMAN	NCL	710	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolin	1.00E+09	8.17E+08	1.35E+09	2.14E+09	1.99E+09	2.55E+09	2.11E+09	1.03E+09	2.18E+09	8.58E+08	1.02E+09	1.17E+09	2.30E+09	2.10E+09	2.61E+09	1.52E+09	3.79E+08	1.50E+09	9.60E+08	1.12E+09	1.43E+09	1.13E+09	9.49E+08	1.97E+09	1.70E+09	1.45E+09	1.32E+09	1.29E+09	1.55E+09	1.20E+09	2.05E+09	2.03E+09	2.12E+09	1.83E+09	1.72E+09	6.18E+08	
sp|P19367|HXK1_HUMAN	P19367	HXK1_HUMAN	HK1	917	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hexokinase-1	5.59E+07	6.41E+07	2.65E+08	2.82E+08	2.93E+08	1.68E+08	2.46E+08	5.68E+07	2.58E+08	8.91E+07	1.24E+08	1.17E+08	2.24E+08	1.52E+08	2.58E+08	2.30E+08	4.40E+07	2.01E+08	1.60E+08	1.02E+08	2.91E+08	2.20E+08	1.56E+08	1.32E+08	1.61E+08	3.44E+08	1.09E+08	9.83E+07	1.63E+08	2.45E+08	2.21E+08	2.29E+08	1.92E+08	2.38E+08	1.95E+08	6.00E+07	
sp|P19387|RPB3_HUMAN	P19387	RPB3_HUMAN	POLR2C	275	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB3	1.10E+08	0	0	4.14E+07	0	0	0	0	1.02E+08	0	1.03E+08	0	0	5.40E+07	0	0	0	0	0	1.11E+08	0	0	0	4.77E+07	0	0	0	7.09E+07	0	0	7.10E+07	0	0	0	0	6.26E+07	
sp|P19388|RPAB1_HUMAN	P19388	RPAB1_HUMAN	POLR2E	210	Homo sapiens OX=9606	1:Experimental evidence at protein level	"DNA-directed RNA polymerases I, II, and III subunit RPABC1"	1.04E+08	1.51E+08	1.13E+08	1.01E+08	9.43E+07	9.97E+07	7.78E+07	1.38E+08	9.99E+07	1.10E+08	1.03E+08	9.69E+07	8.57E+07	7.99E+07	7.81E+07	6.56E+07	7.37E+07	7.42E+07	1.18E+08	1.13E+08	0	8.68E+07	1.08E+08	5.53E+07	6.34E+07	5.23E+07	9.18E+07	8.77E+07	7.69E+07	1.32E+08	0	7.75E+07	7.91E+07	8.44E+07	6.28E+07	8.18E+07	
sp|P19404|NDUV2_HUMAN	P19404	NDUV2_HUMAN	NDUFV2	249	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"	1.63E+08	1.00E+08	6.99E+07	1.76E+08	1.70E+08	1.97E+08	2.52E+08	4.04E+08	2.02E+08	1.22E+08	1.10E+08	0	2.27E+08	2.30E+08	2.02E+08	3.14E+08	3.82E+08	2.45E+08	1.05E+08	1.01E+08	0	6.92E+07	1.10E+08	1.90E+08	1.89E+08	9.51E+07	3.29E+08	3.21E+08	2.40E+08	4.64E+07	1.77E+08	1.95E+08	2.09E+08	1.63E+08	2.03E+08	3.58E+08	
sp|P19419|ELK1_HUMAN	P19419	ELK1_HUMAN	ELK1	428	Homo sapiens OX=9606	1:Experimental evidence at protein level	ETS domain-containing protein Elk-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P19438|TNR1A_HUMAN	P19438	TNR1A_HUMAN	TNFRSF1A	455	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P19447|ERCC3_HUMAN	P19447	ERCC3_HUMAN	ERCC3	782	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription and DNA repair factor IIH helicase subunit XPB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P19474|RO52_HUMAN	P19474	RO52_HUMAN	TRIM21	475	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TRIM21	0	6.24E+07	2.80E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P19484|TFEB_HUMAN	P19484	TFEB_HUMAN	TFEB	476	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor EB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P19525|E2AK2_HUMAN	P19525	E2AK2_HUMAN	EIF2AK2	551	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Interferon-induced, double-stranded RNA-activated protein kinase"	0	0	7.81E+07	1.47E+08	1.44E+08	1.21E+08	1.21E+08	3.65E+07	1.83E+08	3.98E+07	0	7.21E+07	1.54E+08	1.42E+08	1.41E+08	7.79E+07	0	1.25E+08	3.66E+07	6.23E+07	7.79E+07	5.23E+07	3.69E+07	1.28E+08	1.38E+08	1.18E+08	8.11E+07	6.33E+07	1.25E+08	6.38E+07	1.38E+08	1.20E+08	1.20E+08	1.23E+08	1.21E+08	3.86E+07	
sp|P19532|TFE3_HUMAN	P19532	TFE3_HUMAN	TFE3	575	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription factor E3	3.17E+07	0	0	0	0	0	0	0	0	2.23E+07	1.79E+07	0	0	0	0	0	0	0	8945846	0	0	1.50E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30E+07	
