Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
F1M842	F1M842	F1M842_RAT	Tp53bp1	Tumor protein p53 binding protein 1	103.04		488.03			364.889	537.733
F1M853	F1M853	F1M853_RAT	Rrbp1	Ribosome binding protein 1	532.135		858.683	848.751		1257.7	778.924
F1M8B7	F1M8B7	F1M8B7_RAT	Chmp2b	Charged multivesicular body protein 2B	226.209		279.009	890.864		183.533	543.248
F1M8K0	F1M8K0	F1M8K0_RAT	Dag1	Dystroglycan 1							67.8884
F1M8Y4	F1M8Y4	F1M8Y4_RAT	Deptor	DEP domain containing MTOR-interacting protein							266.718
F1M990	F1M990	F1M990_RAT	Cks1l	Cyclin-dependent kinases regulatory subunit	2835.43		566.25		437.491	717.231	2261.54
F1M9V7	F1M9V7	F1M9V7_RAT	Npepps	Aminopeptidase	93.4234		346.828			385.074	360.066
F1MA98	F1MA98	TPR_RAT	Tpr	Nucleoprotein TPR			574.581			244.451	112.752
F1MAA1	F1MAA1	F1MAA1_RAT	Usp47	Ubiquitin carboxyl-terminal hydrolase 47							278.991
F1MAF2	F1MAF2	F1MAF2_RAT	Akap17a	A-kinase anchoring protein 17A	307.981						99.1077
F1MAG1	F1MAG1	F1MAG1_RAT	Agrp	Agouti related neuropeptide							187.397
F1MAG8	F1MAG8	F1MAG8_RAT	Sema3d	Semaphorin 3D							200.781
F1MAN8	F1MAN8	F1MAN8_RAT	Lama5	Laminin subunit alpha 5	25159.8	37320.6	19190.3	31269.5	28666.3	18235.5	2885.45
F1MAQ7	F1MAQ7	F1MAQ7_RAT	Son	SON DNA and RNA binding protein	628.428		464.425				564.896
F2Z3T4	F2Z3T4;A0A0G2JX72	MBNL2_RAT	Mbnl2	Muscleblind-like protein 2	371.087						244.832
F7EKZ5	F7EKZ5	F7EKZ5_RAT	Cxxc1	CXXC-type zinc finger protein 1							88.2112
F7ELS2	F7ELS2;A0A8I6GM53	F7ELS2_RAT	Cct6a	Chaperonin containing TCP1 subunit 6A	2049.48		2265.8	2228.97		2736.79	1983.23
F7EPH4	F7EPH4	F7EPH4_RAT	Ppa1	inorganic diphosphatase	1186.71		2140.96			2856.46	2214.68
F7ETS0	F7ETS0	F7ETS0_RAT	Acot9	Acyl-CoA thioesterase 9	423.911				660.404	894.034	267.382
F7EVW7	F7EVW7	F7EVW7_RAT	Gpaa1	Glycosylphosphatidylinositol anchor attachment 1							105.469
F7EWC1	F7EWC1	F7EWC1_RAT	Vasp	Vasodilator-stimulated phosphoprotein			437.249				534.003
F7EXY7	F7EXY7	F7EXY7_RAT	Slc25a24	Solute carrier family 25 member 24	4777.8	960.009	3523.34	2299.43	1821.3	1428.41	2074.27
F7EY92	F7EY92	F7EY92_RAT	Mbd3	Methyl-CpG binding domain protein 3							137.79
F7EYC4	F7EYC4	F7EYC4_RAT	Tom1	Target of myb1 membrane trafficking protein	1852.66		1133.6	1758.51		334.219	357.918
F7EZE5	F7EZE5;M0R5M7	F7EZE5_RAT	Btf3	Transcription factor BTF3			488.846			768.095	301.687
F7F067	F7F067	F7F067_RAT	Actr1b	Actin related protein 1B	688.06						243.197
F7F0R0	F7F0R0	F7F0R0_RAT	Tmod3	Tropomodulin 3	241.618						229.544
F7F1X7	F7F1X7	F7F1X7_RAT	Pmm2	Phosphomannomutase				835.756		214.033	272.339
F7F288	F7F288	F7F288_RAT	Bcap29	B-cell receptor-associated protein							168.331
F7F2U9	F7F2U9	F7F2U9_RAT	Psmg4	Proteasome assembly chaperone 4							279.949
F7F4L4	F7F4L4	F7F4L4_RAT	Dnajb12	DnaJ heat shock protein family (Hsp40) member B12							105.59
F7F5P9	F7F5P9	F7F5P9_RAT	G3bp2	G3BP stress granule assembly factor 2			196.884			1656.04	1337.27
F7F875	F7F875	F7F875_RAT	Srpra	SRP receptor subunit alpha							139.884
F7FE56	F7FE56	F7FE56_RAT	Tpd52l1	TPD52 like 1			359.07				121.235
F7FFV6	F7FFV6	F7FFV6_RAT	Pwwp2b	PWWP domain containing 2B				5296.19	2970.7		
F7FFW7	F7FFW7	F7FFW7_RAT	Atp6v0d1	ATPase H+ transporting V0 subunit D1	215.711					411.267	175.522
F7FG85	F7FG85	F7FG85_RAT	Man2b1	Alpha-mannosidase	826.071		329.863	543.712		227.643	480.938
F7FHT4	F7FHT4	F7FHT4_RAT	Sema3c	Semaphorin-3C							100.613
F7FM87	F7FM87	F7FM87_RAT	Erich1	Glutamate-rich 1	648.586						444.772
F7FND9	F7FND9	F7FND9_RAT	Srrm1	Serine and arginine repetitive matrix 1							96.0692
F7FPZ3	F7FPZ3	F7FPZ3_RAT	Nelfa	Negative elongation factor complex member A							103.852
G3V6A6	G3V6A6	G3V6A6_RAT	Chmp1b2	Similar to RIKEN cDNA 2610002M06							271.078
G3V6A8	G3V6A8	G3V6A8_RAT	Golgb1	Golgin B1						197.879	347.115
G3V6H2	G3V6H2	G3V6H2_RAT	Prpf8	Pre-mRNA processing factor 8							66.3243
G3V6N2	G3V6N2	G3V6N2_RAT	Tmed4	Transmembrane p24 trafficking protein 4	876.832		401.804		451.913	197.909	247.936
G3V6P8	G3V6P8	G3V6P8_RAT	Gng12	Guanine nucleotide-binding protein subunit gamma							331.508
G3V6S0	G3V6S0	G3V6S0_RAT	Sptbn1	Spectrin beta chain	1261.11		741.71			276.667	1436.65
G3V6S8	G3V6S8	SRSF6_RAT	Srsf6	Serine/arginine-rich splicing factor 6	549.064		482.409	762.447		935.369	908.954
G3V728	G3V728	G3V728_RAT	Nipsnap1	Nipsnap homolog 1	960.835		658.42		1173.33	417.796	334.677
G3V762	G3V762	G3V762_RAT	Gfus	GDP-L-fucose synthase	532.734		392.368	1386.8		649.416	456.012
G3V7E6	G3V7E6	G3V7E6_RAT	Pcm1	Pericentriolar material 1			490.513		325.532		176.999
G3V7F6	G3V7F6	G3V7F6_RAT	Sap18	Histone deacetylase complex subunit SAP18	1432.31		411.41				494.525
G3V7I3	G3V7I3	G3V7I3_RAT	Atp13a1	ATPase 13A1	545.174			196.527		246.016	296.059
G3V7I7	G3V7I7	G3V7I7_RAT	Lrrc40	Leucine rich repeat containing 40			400.531			175.682	305.403
G3V7M2	G3V7M2	G3V7M2_RAT	Itgb7	Integrin beta			532.293				427.242
G3V7Q4	G3V7Q4	G3V7Q4_RAT	Ptpn12	Tyrosine-protein phosphatase non-receptor type 12				557.617			333.526
G3V7Q7	G3V7Q7	G3V7Q7_RAT	Iqgap1	IQ motif containing GTPase activating protein 1						246.124	172.826
G3V7V3	G3V7V3	G3V7V3_RAT	Slc27a4	Solute carrier family 27 member 4						168.407	267.06
G3V7V5	G3V7V5	G3V7V5_RAT	Fkbp11	peptidylprolyl isomerase							90.4374
G3V828	G3V828	G3V828_RAT	Cnpy3	Canopy FGF signaling regulator 3							194.688
G3V829	G3V829	G3V829_RAT	Fubp3	Far upstream element binding protein 3	661.787		393.256				375.559
G3V852	G3V852;A0A8I5Y6H9	G3V852_RAT	Tln1	Talin 1						190.349	257.635
G3V892	G3V892	G3V892_RAT	Nrsn1	Neurensin 1	848.114						314.738
G3V8A5	G3V8A5	G3V8A5_RAT	Vps35	Vacuolar protein sorting-associated protein 35							129.449
G3V8G1	G3V8G1	G3V8G1_RAT	Agtpbp1	tubulin-glutamate carboxypeptidase							115.308
G3V8K2	G3V8K2	G3V8K2_RAT	Gng3	Guanine nucleotide-binding protein subunit gamma				313.984			1536.39
G3V8R7	G3V8R7	G3V8R7_RAT	Gatad2a	GATA zinc finger domain containing 2A	261.898		923.112			160.017	458.221
G3V8T7	G3V8T7	G3V8T7_RAT	Tdrkh	Tudor and KH domain containing			384.533			258.509	257.55
G3V912	G3V912	G3V912_RAT	Tmx4	Thioredoxin-related transmembrane protein 4				624.365			339.629
G3V918	G3V918	G3V918_RAT	Gart	Trifunctional purine biosynthetic protein adenosine-3	506		505.063			576.27	448.408
G3V9A3;Q5EBB0	Q5EBB0;G3V9A3	G3V9A3_RAT;Q5EBB0_RAT	Sfn;Sfnl1	Stratifin	1689.28		805.975	2360.53	796.104	2203.44	163.657
G3V9D0	G3V9D0	PGLT1_RAT	Poglut1	Protein O-glucosyltransferase 1							540.729
G3V9H8	G3V9H8	RET_RAT	Ret	Proto-oncogene tyrosine-protein kinase receptor Ret							147.948
G3V9M1	G3V9M1	G3V9M1_RAT	Ddx23	RNA helicase						227.036	380.954
G3V9R0	G3V9R0	G3V9R0_RAT	Luc7l	LUC7-like							242.045
G3V9R8	G3V9R8	HNRPC_RAT	Hnrnpc	Heterogeneous nuclear ribonucleoprotein C	4685.47		3244.75	1663.72	1794.17	2325.17	4175.57
G3V9W0	G3V9W0	G3V9W0_RAT	Cetn2	Centrin 2						511.707	507.678
H8Y6J1	H8Y6J1	H8Y6J1_RAT	Pate-f	Prostate and testis expressed protein F			1637.35		372.126	930.962	972.594
M0R3J8	M0R3J8	M0R3J8_RAT	Rcor1	REST corepressor 1							233.182
M0R3M8	M0R3M8	M0R3M8_RAT	Rrp12	Ribosomal RNA processing 12 homolog	443.361						404.878
M0R4G0	M0R4G0	M0R4G0_RAT	Islr2	Immunoglobulin superfamily containing leucine-rich repeat 2							206.473
M0R4Z7	M0R4Z7	M0R4Z7_RAT	Vom1r13	Vomeronasal type-1 receptor							205.932
M0R6J0	M0R6J0	M0R6J0_RAT	Mrpl39	Mitochondrial ribosomal protein L39	356.413		229.633			174.264	94.6715
M0R785	M0R785	M0R785_RAT	Chchd2l3	Coiled-coil-helix-coiled-coil-helix domain containing 2			1545.11				549.504
M0R907	M0R907	M0R907_RAT	Snrpd3	Small nuclear ribonucleoprotein Sm D3	473.785		1486.47		683.021	742.665	2221.27
M0R9L0	M0R9L0	M0R9L0_RAT	Naca	Nascent polypeptide associated complex subunit alpha	2343.85		776.839			1476.04	1724.16
M0R9Q1	M0R9Q1	M0R9Q1_RAT	Rbm14	RNA binding motif protein 14	1750.29		1278.17		477.176	635.501	1016.09
M0R9W9	M0R9W9	M0R9W9_RAT	Lrch3	Leucine rich repeats and calponin homology domain containing 3							84.6806
M0RA86	P63018;A0A8I6AQL9;M0RA86	M0RA86_RAT	Ccdc9	Coiled-coil domain containing 9	1246.72		954.902			648.126	1062.48
M0RAD5	M0RAD5	M0RAD5_RAT	Clpp	ATP-dependent Clp protease proteolytic subunit	535.517		499.546		555.553	778.631	426.958
M0RAP5	M0RAP5	M0RAP5_RAT	Sbf1	SET binding factor 1							184.3
M0RBB1	M0RBB1	M0RBB1_RAT	Alyref	Aly/REF export factor	933.815		939.865			779.857	1117.09
M0RBE7	M0RBE7	M0RBE7_RAT	AABR07063276.1	Uncharacterized protein	273.211		819.83	692.607		960.992	788.304
M0RBQ5	A0A8I6A2W1;A0A8I6AE96;D3ZNZ9;M0RBQ5	M0RBQ5_RAT	H2bu1	Histone H2B	2967.76	1316.63	2895.43	1197.62	2109.39	1840.81	1639.43
M0RBR5	M0RBR5	M0RBR5_RAT	Or51a41	Olfactory receptor	1897.5		2763.27	2145.43	1559.5	4018.67	4735.17
M0RC99	A0A8I6GI04;M0RC99;B0BN23	RAB5A_RAT	Rab5a	Ras-related protein Rab-5A	430.73				722.532	232.674	168.783
M0RD14	M0RD14	M0RD14_RAT	LOC100362738	Pyruvate kinase	1966.77		6674.66	7130.05	1198.15	4255.27	1791.45
M0RDD7	Q498T2;M0RDD7	M0RDD7_RAT	Chtopl1	Chromatin target of PRMT1-like 1			498.854			496.197	337.681
O08587	O08587	NUP50_RAT	Nup50	Nuclear pore complex protein Nup50						256.746	151.609
O08618;P16409	O08618;P16409	KPRB_RAT;MYL3_RAT	Myl3;Prpsap2	Phosphoribosyl pyrophosphate synthase-associated protein 2							543.884
O08629	O08629	TIF1B_RAT	Trim28	Transcription intermediary factor 1-beta	5375.27		2564.66	726.808	1124.13	1097.64	3272
O08651	O08651	SERA_RAT	Phgdh	D-3-phosphoglycerate dehydrogenase	778.798		941.141	3663.45		1364.54	1405.74
O08653	O08653	TEP1_RAT	Tep1	Telomerase protein component 1							88.3969
O08678	O08678	MARK1_RAT	Mark1	Serine/threonine-protein kinase MARK1							77.9114
O08679	O08679	MARK2_RAT	Mark2	Serine/threonine-protein kinase MARK2							144.669
O08697	O08697	ARL2_RAT	Arl2	ADP-ribosylation factor-like protein 2							82.8365
O08815	O08815	SLK_RAT	Slk	STE20-like serine/threonine-protein kinase							245.626
O08836	O08836	IGBP1_RAT	Igbp1	Immunoglobulin-binding protein 1	827.94		144.585			243.558	275.335
O08839	O08839	BIN1_RAT	Bin1	Myc box-dependent-interacting protein 1	214.896			707.995		933.543	569.655
O08873	O08873	MADD_RAT	Madd	MAP kinase-activating death domain protein							262.86
O08984	O08984	LBR_RAT	Lbr	Delta(14)-sterol reductase LBR			688.333			680.852	447.773
O09032	O09032	ELAV4_RAT	Elavl4	ELAV-like protein 4			552.553		1050.15	1141.18	308.388
O35092	O35092	TI17A_RAT	Timm17a	Mitochondrial import inner membrane translocase subunit Tim17-A	1361.07		475.293			290.067	664.243
O35093	A0A8I6A2G5;O35093	TIM23_RAT	Timm23	Mitochondrial import inner membrane translocase subunit Tim23			502.578	1615.78		716.316	489.902
O35094	O35094	TIM44_RAT	Timm44	Mitochondrial import inner membrane translocase subunit TIM44	433.305		124.189				135.296
O35147	O35147	BAD_RAT	Bad	Bcl2-associated agonist of cell death	195.544						237.158
O35179	O35179;O35964	SH3G2_RAT	Sh3gl2	Endophilin-A1	1690.25		986.127			935.826	1900
O35244	A0A8I6ASU0;O35244	PRDX6_RAT	Prdx6	Peroxiredoxin-6	378.407		184.806	281.815		290.715	941.947
O35254	O35254	GORS1_RAT	Gorasp1	Golgi reassembly-stacking protein 1			678.597			451.943	341.84
O35263	O35263	PA1B3_RAT	Pafah1b3	Platelet-activating factor acetylhydrolase IB subunit alpha1	1132.96		345.704	262.191		916.969	791.761
O35274	O35274	NEB2_RAT	Ppp1r9b	Neurabin-2							289.01
O35303	O35303	DNM1L_RAT	Dnm1l	Dynamin-1-like protein			923.832	783.304		2099.13	969.673
O35314	O35314	SCG1_RAT	Chgb	Secretogranin-1	6915.71		1108.34		10064	797.721	9909.36
O35331	A0A8I6AAM1;O35331	PDXK_RAT	Pdxk	Pyridoxal kinase						309.037	127.141
O35430	O35430	APBA1_RAT	Apba1	Amyloid-beta A4 precursor protein-binding family A member 1						361.938	187.339
O35509;P62494	O35509;P62494	RB11A_RAT;RB11B_RAT	Rab11a;Rab11b	Ras-related protein Rab-11B	5067.32	1388.76	4979.3	3738.23	5376.87	5674.44	5797.18
O35567	O35567	PUR9_RAT	Atic	Bifunctional purine biosynthesis protein ATIC	1725.59		710.188	1586.03	129.74	1527.68	797.373
O35750	O35750	SHOX2_RAT	Shox2	Short stature homeobox protein 2 (Fragment)	549.748		318.615				806.609
O35760	O35760	IDI1_RAT	Idi1	Isopentenyl-diphosphate Delta-isomerase 1							201.745
O35763	O35763;P31977;Q5PQK5	MOES_RAT	Msn	Moesin	2289.27		2488.54	3793.19	1963.06	3117.01	4471.37
O35795	O35795	ENTP2_RAT	Entpd2	Ectonucleoside triphosphate diphosphohydrolase 2							80.5248
O35814	O35814	STIP1_RAT	Stip1	Stress-induced-phosphoprotein 1						323.69	417.401
O35821	O35821	MBB1A_RAT	Mybbp1a	Myb-binding protein 1A	1496.17		1105.56	463.862	789.245	693.991	945.423
O35828	O35828	CORO7_RAT	Coro7	Coronin-7	670.595		359.153	391.701		561.924	466.471
O35889	O35889	AFAD_RAT	Afdn	Afadin	895.05			1335.93		287.883	193.748
O35964	O35964	SH3G1_RAT	Sh3gl1	Endophilin-A2						222.563	327.709
O35977	O35977	O35977_RAT	Gfra2	GDNF family receptor alpha-2							198.511
O35986	O35986	ZRAB2_RAT	Zranb2	Zinc finger Ran-binding domain-containing protein 2							104.511
O35987	O35987	NSF1C_RAT	Nsfl1c	NSFL1 cofactor p47	2475.14		1899.86	3139.95		3645.41	4126.34
O54715	O54715	VAS1_RAT	Atp6ap1	V-type proton ATPase subunit S1							443.006
O54858	O54858	CBPZ_RAT	Cpz	Carboxypeptidase Z						211.897	235.944
O54874	O54874	MRCKA_RAT	Cdc42bpa	Serine/threonine-protein kinase MRCK alpha							171.833
O54912	O54912;A0A8I5ZZ08	KCNK3_RAT	Kcnk3	Potassium channel subfamily K member 3	855.215		2441.14	1179.02	2128.23	1857.96	3041.55
O54924	O54924	EXOC8_RAT	Exoc8	Exocyst complex component 8			242.075			274.726	201.079
O54975	O54975	XPP1_RAT	Xpnpep1	Xaa-Pro aminopeptidase 1	864.959		953.194	679.033	751.58	656.923	253.387
O55007	O55007	RGPA1_RAT	Ralgapa1	Ral GTPase-activating protein subunit alpha-1							92.9192
O55012	O55012	PICAL_RAT	Picalm	Phosphatidylinositol-binding clathrin assembly protein							345.19
O55096	O55096	DPP3_RAT	Dpp3	Dipeptidyl peptidase 3			619.315				427.888
O55156	O55156	CLIP2_RAT	Clip2	CAP-Gly domain-containing linker protein 2					152.584	925.828	695.975
O55159	O55159	EPCAM_RAT	Epcam	Epithelial cell adhesion molecule			212.437	328.528		275.779	415.791
O55232	O55232	OREX_RAT	Hcrt	Hypocretin neuropeptide precursor	6725	504.235	5142.43	3240.17	1395.66	7292.53	5384.23
O70351	O70351	HCD2_RAT	Hsd17b10	3-hydroxyacyl-CoA dehydrogenase type-2	896.956		553.967		643.763	476.648	312.883
O70595	O70595	ABCB6_RAT	Abcb6	ATP-binding cassette sub-family B member 6	3518.81		3975.52		421.268	8610.79	7007.95
O88272	O88272	MMP23_RAT	Mmp23	Matrix metalloproteinase-23			1260.59		882.531	864.25	498.812
O88278	O88278	CELR3_RAT	Celsr3	Cadherin EGF LAG seven-pass G-type receptor 3	2515.23		2209.57	1354.61	1481.65	1602.08	1020.51
O88280	O88280	SLIT3_RAT	Slit3	Slit homolog 3 protein							130.58
O88453	O88453	SAFB1_RAT	Safb	Scaffold attachment factor B1	1015.53		1096.19		577.084	792.419	895.778
O88588	O88588	PACS1_RAT	Pacs1	Phosphofurin acidic cluster sorting protein 1			542.504				455.422
O88600	O88600	HSP74_RAT	Hspa4	Heat shock 70 kDa protein 4	1669.61		1457.61	2081.08	184.407	1892.35	1690.6
O88656	O88656	ARC1B_RAT	Arpc1b	Actin-related protein 2/3 complex subunit 1B	293.884		439.493			385.729	216.58
O88658	A0A8I6GJD2;O88658	KIF1B_RAT	Kif1b	Kinesin-like protein KIF1B	843.641	619.121	1999	927.063	1105.1	2034.42	1095.71
O88664	O88664	TAOK1_RAT	Taok1	Serine/threonine-protein kinase TAO1							53.9554
O88671	O88671	DLL3_RAT	Dll3	Delta-like protein 3							241.088
O88761	O88761	PSMD1_RAT	Psmd1	26S proteasome non-ATPase regulatory subunit 1	1150.87		1730.09			1456.49	1452.89
O88767	O88767	PARK7_RAT	Park7	Parkinson disease protein 7 homolog	1199.27		1837.17	989.229	794.967	3266.88	3287.24
O88778	O88778	BSN_RAT	Bsn	Protein bassoon							138.677
O88794	O88794	PNPO_RAT	Pnpo	Pyridoxine-5'-phosphate oxidase	567.437			230.441		1258.24	843.341
O88808	O88808	TUB_RAT	Tub	Tubby protein homolog							80.1104
O88917	O88917	AGRL1_RAT	Adgrl1	Adhesion G protein-coupled receptor L1							135.577
O89000	O89000	DPYD_RAT	Dpyd	Dihydropyrimidine dehydrogenase [NADP(+)]							64.0502
O89046	O89046	COR1B_RAT	Coro1b	Coronin-1B	892.346		495.604	969.041		1107.74	991.215
P00388	P00388	NCPR_RAT	Por	NADPH--cytochrome P450 reductase	2719.58		638.116		406.463	642.129	200.362
P00406	P00406	COX2_RAT	Mtco2	Cytochrome c oxidase subunit 2			177.411		1517.68	389.647	339.438
P00698	P00698	LYSC_CHICK	LYZ	Lysozyme C	2403.01	2544.75	3600.88	4417.59	4048.25	2696.57	408.137
P00761	P00761	TRYP_PIG		Trypsin	747614	596351	651784	915915	972132	496013	95782.4
P00773	P00773	CELA1_RAT	Cela1	Chymotrypsin-like elastase family member 1			700.24			198.044	204.401
P00787	P00787	CATB_RAT	Ctsb	Cathepsin B							363.334
P01112;P20171	P01112;Q04970;A0A8I6AHV4;P20171	RASH_HUMAN;RASH_RAT	HRAS;Hras	GTPase HRas			782.567	3257.98	379.498		499.801
P01143	P01143	CRF_RAT	Crh	Corticoliberin					1034.58		1739.27
P01323	P01323	INS2_RAT	Ins2	Insulin-2	924.313		2125.73	1521.97		1974.11	894.859
P01830	P01830	THY1_RAT	Thy1	Thy-1 membrane glycoprotein							805.538
P02401	P02401;D4A4D5;D3ZN03	RLA2_RAT	Rplp2	Large ribosomal subunit protein P2							101.946
P02454	P02454	CO1A1_RAT	Col1a1	Collagen alpha-1(I) chain	410.817				1452.76	730.499	
P02662	P02662	CASA1_BOVIN	CSN1S1	Alpha-S1-casein	429.383		595.81	731.468	1198.79	752.428	116.345
P02666	P02666	CASB_BOVIN	CSN2	Beta-casein	1159.97	3705.65	2197.91	2184.63	982.476		
P02667	P02667	CS2LA_RAT	Csn1s2a	Alpha-S2-casein-like A			485.843			620.715	262.768
P02668	P02668	CASK_BOVIN	CSN3	Kappa-casein						188.106	
P02683	P02683	NSG1_RAT	Nsg1	Neuronal vesicle trafficking-associated protein 1							165.947
P02768	P02768	ALBU_HUMAN	ALB	Serum albumin	371.473		458.251				83.2662
P02769	P02769;P02768	ALBU_BOVIN	ALB	Serum albumin	9249.56	7270.79	5247.89	7675.56	7064.44	3803.94	688.031
P02787	P02787	TRFE_HUMAN	TF	Serotransferrin						1055.39	233.954
P02793	P02793;A0A8I6GIG4;A0A8I5ZY31;Q7TP54;M0R597;M0R6L9;A0A8L2QVZ0	FRIL1_RAT	Ftl1	Ferritin light chain 1			2726.5	1902.31			883.586
P04167	P04167	CP2B2_RAT	Cyp2b2	Cytochrome P450 2B2	4193.55	1453.27	9089.28	1694.02	5691.26	8151.64	6078.82
P04177	P04177	TY3H_RAT	Th	Tyrosine 3-monooxygenase	57624.6	11254.5	53824	16447.4	6925.01	299158	55608.6
P04256	P04256	ROA1_RAT	Hnrnpa1	Heterogeneous nuclear ribonucleoprotein A1	16519.8	2437.02	8993.81	3755.9	4137.94	6104.71	9499.12
P04550	P04550	PTMS_RAT	Ptms	Parathymosin	383.322		1068.94			612.98	640.214
P04642	P04642;A0A8I6ASS6	LDHA_RAT	Ldha	L-lactate dehydrogenase A chain	14845.7	6956.35	34768.4	34024	6966.32	59840.4	20357.3
P04644	P04644;D3ZKG6;D3ZHU9;D3ZFA8	RS17_RAT	Rps17	Small ribosomal subunit protein eS17	711.45		693.615	1579.73		943.208	941.026
P04646	F1M0T2;P04646;A0A096P6M4;A0A8I6A5U8;D3ZZN4	RL35A_RAT	Rpl35a	Large ribosomal subunit protein eL33	2700.67		1515.98	2860.49	769.909	3115.45	2642.66
P04692	P04692	TPM1_RAT	Tpm1	Tropomyosin alpha-1 chain							105.717
P04762	P04762	CATA_RAT	Cat	Catalase							83.1795
P04764	M0R5J4;A0A8I6GJ97;P04764;A0A8I5YC61	ENOA_RAT	Eno1	Alpha-enolase	9457.99	1338.27	14635	13194.7	1934.09	15748.1	11247
P04785	P04785	PDIA1_RAT	P4hb	Protein disulfide-isomerase			518.858			1081.36	237.042
P04797	A0A0G2K7M1;P04797	G3P_RAT	Gapdh	Glyceraldehyde-3-phosphate dehydrogenase	35073.3	5320.22	54118.7	35874.5	9181.8	54736.6	43328.2
P04897	P59215;D4AA42;P10824;P19627;D3ZSS5;P29348;P04897;P08753	GNAI2_RAT	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2	1096.28		616.115	1551.79	508.992	297.605	465.261
P04905	P04905	GSTM1_RAT	Gstm1	Glutathione S-transferase Mu 1	2051.33	733.527	4492.35	1266.69	1182.11	2641.54	5915.05
P04906	P04906	GSTP1_RAT	Gstp1	Glutathione S-transferase P			1105.5			650.799	745.619
P04961	P04961	PCNA_RAT	Pcna	Proliferating cell nuclear antigen	411.165		1691.79				459.669
P05065	P05065	ALDOA_RAT	Aldoa	Fructose-bisphosphate aldolase A	10846.8	1915.83	19777.3	14216.1	4952.59	31655.1	15026
P05197	P05197	EF2_RAT	Eef2	Elongation factor 2	8020.34	2145.68	10341.4	16867.9	2218.23	12006.2	6460.03
P05369	P05369	FPPS_RAT	Fdps	Farnesyl pyrophosphate synthase	924.588		913.102			748.407	542.751
P05370	P05370	G6PD_RAT	G6pdx	Glucose-6-phosphate 1-dehydrogenase			1406.16			1174.63	459.624
P05371	P05371	CLUS_RAT	Clu	Clusterin					1030.34		443.62
P05426	P05426;F1LUE9	RL7_RAT	Rpl7	Large ribosomal subunit protein uL30	487.419			923.189		444.097	604.987
P05696	P05696	KPCA_RAT	Prkca	Protein kinase C alpha type				242.753		399.023	215.74
P05708	P27881;M0R3X7;P05708	HXK1_RAT	Hk1	Hexokinase-1	4640.95	158.676	3453.07	5181.75		2573.23	1696.71
P05765	P05765;D3ZSE0;D3ZRI8	RS21_RAT	Rps21	Small ribosomal subunit protein eS21	4740.46	852.538	3424.03	2356.48	192.759	2913.42	5169.52
P05942	P05942	S10A4_RAT	S100a4	Protein S100-A4	1015.63						484.355
P05964	P05964	S10A6_RAT	S100a6	Protein S100-A6	2403.62	428.713	4002.65	1194.8			3775.79
P06302	P06302	PTMA_RAT	Ptma	Prothymosin alpha			206.395			779.09	448.186
P06536	P06536	GCR_RAT	Nr3c1	Glucocorticoid receptor	825.523		549.87				297.993
P06685	P06685	AT1A1_RAT	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1	1661.75		982.646	1301.65	2814.57	683.145	2740.36
P06761	P06761	BIP_RAT	Hspa5	Endoplasmic reticulum chaperone BiP	1918.36	936.108	4695.11	7754.74	3605.41	4705.1	4225.32
P07150	P07150	ANXA1_RAT	Anxa1	Annexin A1							288.61
P07151	P07151	B2MG_RAT	B2m	Beta-2-microglobulin	3773.84	571.608	2227.14		4216.78	1459.04	1103.21
P07152	P07152	MMP10_RAT	Mmp10	Stromelysin-2	493.504	488.807	708.675	548.587	485.528	921.132	838.594
P07153	P07153	RPN1_RAT	Rpn1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	1320.42		1487.68		1499.47	612.077	1220.89
P07154	P07154	CATL1_RAT	Ctsl	Procathepsin L						396.341	473.077
P07323	P07323	ENOG_RAT	Eno2	Gamma-enolase	1752.03		2673.42	2576.63	1579.14	4332.04	2559.53
P07335	P07335	KCRB_RAT	Ckb	Creatine kinase B-type	10849.7	613.387	12827.7	873.319	2382.65	6761.12	10404.8
